"Rndrng_Prvdr_Geo_Lvl","Rndrng_Prvdr_Geo_Cd","Rndrng_Prvdr_Geo_Desc","HCPCS_Cd","HCPCS_Desc","HCPCS_Drug_Ind","Place_Of_Srvc","Tot_Rndrng_Prvdrs","Tot_Benes","Tot_Srvcs","Tot_Bene_Day_Srvcs","Avg_Sbmtd_Chrg","Avg_Mdcr_Alowd_Amt","Avg_Mdcr_Pymt_Amt","Avg_Mdcr_Stdzd_Amt"
State,"17",Illinois,"94060",Test to measure expiratory airflow and volume changes before and after medication administration,N,O,417,10532,12492,12442,175.34483,34.10125,25.706043,25.402357
State,"17",Illinois,"94726",Test to determine lung volumes using sensors,N,F,287,17537,18160,18160,77.40163,11.871045,9.167715,9.008023
State,"17",Illinois,"94726",Test to determine lung volumes using sensors,N,O,223,12086,13748,13748,184.83046,49.100628,37.92441,37.491688
State,"17",Illinois,"94729",Test to examine how well the lungs exchange gases,N,F,308,19043,19716,19716,65.22612,8.8554,6.850872,6.703584
State,"17",Illinois,"94729",Test to examine how well the lungs exchange gases,N,O,242,13265,14976,14975,180.74553,51.531654,39.626175,39.293575
State,"18",Indiana,"94010",Test to measure expiratory airflow and volume,N,F,149,3440,4105,4105,42.017944,7.670034,5.8642483,6.1312327
State,"18",Indiana,"94010",Test to measure expiratory airflow and volume,N,O,286,6599,8386,8386,90.219,22.936625,16.979435,18.656603
State,"18",Indiana,"94060",Test to measure expiratory airflow and volume changes before and after medication administration,N,F,214,9840,10113,10113,59.027115,9.653586,7.371578,7.6489005
State,"18",Indiana,"94060",Test to measure expiratory airflow and volume changes before and after medication administration,N,O,326,7310,9791,9789,131.34798,30.939953,22.980413,24.979614
State,"18",Indiana,"94726",Test to determine lung volumes using sensors,N,F,199,9954,10222,10222,45.615166,11.289381,8.648218,8.959858
State,"18",Indiana,"94726",Test to determine lung volumes using sensors,N,O,99,3145,3401,3400,115.78739,43.100967,32.569225,35.586426
State,"18",Indiana,"94729",Test to examine how well the lungs exchange gases,N,F,218,12002,12432,12432,42.43487,8.335078,6.393943,6.6710496
State,"18",Indiana,"94729",Test to examine how well the lungs exchange gases,N,O,148,7219,8366,8364,98.669205,43.05684,32.530117,35.53018
State,"19",Iowa,"94010",Test to measure expiratory airflow and volume,N,F,74,4394,5545,5545,44.945816,7.6173472,5.7119894,6.004799
State,"19",Iowa,"94010",Test to measure expiratory airflow and volume,N,O,140,4500,5589,5581,97.34806,20.87572,15.066789,16.453651
State,"19",Iowa,"94060",Test to measure expiratory airflow and volume changes before and after medication administration,N,F,82,4301,4513,4513,67.60238,9.577636,7.2789054,7.61068
State,"19",Iowa,"94060",Test to measure expiratory airflow and volume changes before and after medication administration,N,O,111,2528,2715,2714,142.26775,27.869598,20.63495,22.38744
State,"19",Iowa,"94726",Test to determine lung volumes using sensors,N,F,72,4589,4777,4777,53.43769,11.221961,8.54172,8.88714
State,"19",Iowa,"94726",Test to determine lung volumes using sensors,N,O,49,1149,1200,1200,133.69417,39.172607,28.981783,31.594007
State,"19",Iowa,"94729",Test to examine how well the lungs exchange gases,N,F,77,6414,6710,6710,50.444004,8.291003,6.3231044,6.622832
State,"19",Iowa,"94729",Test to examine how well the lungs exchange gases,N,O,67,3301,3618,3618,127.17761,38.79552,28.466625,30.898405
State,"20",Kansas,"94010",Test to measure expiratory airflow and volume,N,F,72,2327,2805,2805,106.47549,7.7262816,6.008927,6.219298
State,"20",Kansas,"94010",Test to measure expiratory airflow and volume,N,O,168,4545,5800,5800,84.92437,22.475468,16.550432,18.002728
State,"20",Kansas,"94060",Test to measure expiratory airflow and volume changes before and after medication administration,N,F,89,2314,2370,2370,140.82222,9.682333,7.3648777,7.610772
State,"20",Kansas,"94060",Test to measure expiratory airflow and volume changes before and after medication administration,N,O,120,4324,4960,4960,136.45836,32.615597,24.536802,26.874746
State,"20",Kansas,"94726",Test to determine lung volumes using sensors,N,F,72,3505,3787,3787,139.73477,11.333974,8.6782255,8.94582
State,"20",Kansas,"94726",Test to determine lung volumes using sensors,N,O,68,4697,5026,5026,136.40524,46.843082,35.02307,38.426212
State,"20",Kansas,"94729",Test to examine how well the lungs exchange gases,N,F,72,3860,4170,4170,68.29078,8.371352,6.4324007,6.6695204
State,"20",Kansas,"94729",Test to examine how well the lungs exchange gases,N,O,72,5313,5694,5694,137.87497,47.443447,35.121807,38.55853
State,"21",Kentucky,"94010",Test to measure expiratory airflow and volume,N,F,154,2746,3230,3230,26.760845,7.693997,5.898495,6.0885634
State,"21",Kentucky,"94010",Test to measure expiratory airflow and volume,N,O,317,8317,10224,10223,85.02043,23.142061,17.101654,19.099228
State,"21",Kentucky,"94060",Test to measure expiratory airflow and volume changes before and after medication administration,N,F,162,5574,5741,5741,47.607483,9.680214,7.42421,7.667396
State,"21",Kentucky,"94060",Test to measure expiratory airflow and volume changes before and after medication administration,N,O,219,4449,4722,4722,118.14737,31.87892,24.388365,27.032553
State,"21",Kentucky,"94726",Test to determine lung volumes using sensors,N,F,167,6177,6339,6339,43.961796,11.3204,8.702761,8.966794
State,"21",Kentucky,"94726",Test to determine lung volumes using sensors,N,O,98,4770,5130,5130,113.00098,45.143734,34.868965,38.704567
State,"21",Kentucky,"94729",Test to examine how well the lungs exchange gases,N,F,166,7001,7213,7213,32.99594,8.422354,6.477385,6.7014694
State,"21",Kentucky,"94729",Test to examine how well the lungs exchange gases,N,O,120,6205,6703,6703,112.70407,46.381,35.68196,39.883198
State,"22",Louisiana,"94010",Test to measure expiratory airflow and volume,N,F,95,2944,3281,3280,53.23712,7.817726,5.9249983,6.052469
State,"22",Louisiana,"94010",Test to measure expiratory airflow and volume,N,O,225,5180,6715,6714,101.18828,21.174793,15.694574,17.35944
State,"22",Louisiana,"94060",Test to measure expiratory airflow and volume changes before and after medication administration,N,F,95,3304,3416,3416,77.10241,9.784895,7.4471135,7.6186094
State,"22",Louisiana,"94060",Test to measure expiratory airflow and volume changes before and after medication administration,N,O,135,2844,3176,3166,166.42807,30.349886,22.799074,25.272425
State,"22",Louisiana,"94726",Test to determine lung volumes using sensors,N,F,77,3329,3480,3480,77.81104,11.380443,8.675839,8.884442
State,"22",Louisiana,"94726",Test to determine lung volumes using sensors,N,O,46,2079,2371,2371,139.18343,39.296116,29.803555,33.202496
State,"22",Louisiana,"94729",Test to examine how well the lungs exchange gases,N,F,103,5431,5740,5740,73.01019,8.492094,6.48573,6.622052
State,"22",Louisiana,"94729",Test to examine how well the lungs exchange gases,N,O,77,3405,3685,3685,130.69026,36.637722,28.255264,31.438643
State,"23",Maine,"94010",Test to measure expiratory airflow and volume,N,F,44,1046,1124,1124,116.582954,7.773505,5.8929806,6.064048
State,"23",Maine,"94010",Test to measure expiratory airflow and volume,N,O,51,295,380,380,69.51313,23.930422,17.430473,17.505974
State,"23",Maine,"94060",Test to measure expiratory airflow and volume changes before and after medication administration,N,F,42,1238,1266,1266,125.48264,9.868618,7.571501,7.6655765
State,"23",Maine,"94060",Test to measure expiratory airflow and volume changes before and after medication administration,N,O,54,546,655,655,96.35678,34.02768,26.100794,27.929298
State,"23",Maine,"94726",Test to determine lung volumes using sensors,N,F,39,1355,1393,1393,210.29881,11.514437,8.775987,8.895671
State,"23",Maine,"94726",Test to determine lung volumes using sensors,N,O,22,696,731,731,103.541725,50.859917,37.224964,38.432392
State,"23",Maine,"94729",Test to examine how well the lungs exchange gases,N,F,42,1687,1735,1735,111.55105,8.514945,6.5585938,6.679141
State,"23",Maine,"94729",Test to examine how well the lungs exchange gases,N,O,23,741,781,781,111.270164,52.441883,39.797543,40.919155
State,"24",Maryland,"94010",Test to measure expiratory airflow and volume,N,F,96,3653,4802,4802,57.667797,8.397397,6.3880444,6.0536695
State,"24",Maryland,"94010",Test to measure expiratory airflow and volume,N,O,442,16436,21507,21504,91.7295,28.32707,21.475914,19.804415
State,"24",Maryland,"94060",Test to measure expiratory airflow and volume changes before and after medication administration,N,F,95,3005,3078,3078,65.53608,10.3977585,7.8898897,7.5766635
State,"24",Maryland,"94060",Test to measure expiratory airflow and volume changes before and after medication administration,N,O,323,13553,14906,14906,158.49445,40.352436,30.918058,28.496754
State,"24",Maryland,"94726",Test to determine lung volumes using sensors,N,F,77,2559,2614,2614,85.78298,12.068978,9.18707,8.86658
State,"24",Maryland,"94726",Test to determine lung volumes using sensors,N,O,130,6743,7569,7569,146.50545,56.67088,43.319412,40.10626
State,"24",Maryland,"94729",Test to examine how well the lungs exchange gases,N,F,103,6167,6628,6628,51.185585,9.061942,6.875955,6.570374
State,"24",Maryland,"94729",Test to examine how well the lungs exchange gases,N,O,187,17790,19453,19453,154.78735,59.00267,44.972897,41.482765
State,"25",Massachusetts,"94010",Test to measure expiratory airflow and volume,N,F,259,7250,8674,8674,36.857872,8.499416,6.507156,6.1210895
State,"25",Massachusetts,"94010",Test to measure expiratory airflow and volume,N,O,331,8118,11219,10806,107.59525,26.268667,19.72586,18.120125
State,"25",Massachusetts,"94060",Test to measure expiratory airflow and volume changes before and after medication administration,N,F,264,13512,13916,13916,58.71406,10.448027,7.995966,7.6482553
State,"25",Massachusetts,"94060",Test to measure expiratory airflow and volume changes before and after medication administration,N,O,222,7541,8812,8564,168.01994,35.578407,27.065077,25.047983
State,"25",Massachusetts,"94726",Test to determine lung volumes using sensors,N,F,218,9233,9528,9528,47.774113,12.195317,9.364515,8.961938
State,"25",Massachusetts,"94726",Test to determine lung volumes using sensors,N,O,77,3402,3621,3529,144.44049,43.732998,33.567772,31.086689
State,"25",Massachusetts,"94729",Test to examine how well the lungs exchange gases,N,F,254,18178,19264,19264,47.229294,9.078634,6.9855328,6.667769
State,"25",Massachusetts,"94729",Test to examine how well the lungs exchange gases,N,O,112,6378,6932,6647,168.72443,46.274853,35.301815,32.718807
State,"26",Michigan,"94010",Test to measure expiratory airflow and volume,N,F,304,7940,9961,9961,42.79231,7.987887,6.036386,6.0511093
State,"26",Michigan,"94010",Test to measure expiratory airflow and volume,N,O,950,13491,15734,15727,71.225266,22.833889,16.605085,16.99432
State,"26",Michigan,"94060",Test to measure expiratory airflow and volume changes before and after medication administration,N,F,292,9213,9397,9397,48.49683,9.890209,7.444143,7.5322113
State,"26",Michigan,"94060",Test to measure expiratory airflow and volume changes before and after medication administration,N,O,696,14100,16552,16545,120.47629,35.07452,26.068686,26.77852
State,"26",Michigan,"94726",Test to determine lung volumes using sensors,N,F,288,9949,10162,10162,39.859837,11.5183325,8.688864,8.823858
State,"26",Michigan,"94726",Test to determine lung volumes using sensors,N,O,244,8202,8462,8460,103.52156,45.564335,34.64258,35.95258
State,"26",Michigan,"94729",Test to examine how well the lungs exchange gases,N,F,309,13905,15009,15009,34.29116,8.615799,6.5195336,6.5717144
State,"26",Michigan,"94729",Test to examine how well the lungs exchange gases,N,O,310,13643,14604,14599,97.55876,44.939926,34.311527,35.469494
State,"27",Minnesota,"94010",Test to measure expiratory airflow and volume,N,F,111,1943,2162,2160,58.992092,7.762812,5.884986,5.9462953
State,"27",Minnesota,"94010",Test to measure expiratory airflow and volume,N,O,288,6529,8434,8428,127.29249,25.34244,19.361727,19.173502
