hcpcs_code,seq_num,record_id,long_description,short_description
G9229,00100,3,"Chlamydia, gonorrhea, and syphilis screening results not documented (patient",Ptrsn no gc chl syp test
G9230,00100,3,"Chlamydia, gonorrhea, and syphilis not screened, reason not given",Norsn for gc chl syp test
G9231,00100,3,"Documentation of end stage renal disease (esrd), dialysis, renal transplant",Doc esrd dia trans preg
G9232,00100,3,Clinician treating major depressive disorder did not communicate to clinician,Ptrsn no comm comorbid
G9233,00100,3,All quality actions for the applicable measures in the total knee replacement,Tkr composite
G9234,00100,3,I intend to report the total knee replacement measures group,Tkr intent
G9235,00100,3,All quality actions for the applicable measures in the general surgery measures,Gs mg composite
G9236,00100,3,All quality actions for the applicable measures in the optimizing patient,Op rad mg composite
G9237,00100,3,I intend to report the general surgery measures group,Gs mg intent
G9238,00100,3,I intend to report the optimizing patient exposure to ionizing radiation,Op rad mg intent
G9239,00100,3,Documentation of reasons for patient initiating maintenance hemodialysis with a,Doc rsn hemod & cath acc
G9240,00100,3,Patient whose mode of vascular access is a catheter at the time maintenance,Doc pt w cath maint dia
G9241,00100,3,Patient whose mode of vascular access is not a catheter at the time maintenance,Doc pt w out cath maint dia
G9242,00100,3,Documentation of viral load equal to or greater than 200 copies/ml or viral,Doc viral load >=200
G9243,00100,3,Documentation of viral load less than 200 copies/ml,Doc viral load <200
G9244,00100,3,Antiretroviral thereapy not prescribed,Antiviral not ordered
G9245,00100,3,Antiretroviral therapy prescribed,Antiviral ordered
G9246,00100,3,Patient did not have two eligible encounters at least 90 days apart or one,No enc or enc/vir ld 90days
G9247,00100,3,Patient had two eligible encounters at least 90 days apart or one eligible,2 enc enc/vir ld 90d
G9248,00100,3,Patient did not have a medical visit in the last 6 months,No med visit 6mo
G9249,00100,3,Patient had a medical visit in the last 6 months,Med visit w in 6mo
G9250,00100,3,Documentation of patient pain brought to a comfortable level within 48 hours,Doc of pain comfort 48hr
G9251,00100,3,Documentation of patient with pain not brought to a comfortable level within 48,Doc no pain comfort 48hr
G9252,00100,3,Adenoma(s) or other neoplasm detected during screening colonoscopy,Neo detect scrn colo
G9253,00100,3,Adenoma(s) or other neoplasm not detected during screening colonoscopy,No neo detect scrn colo
G9254,00100,3,Documentation of patient discharged to home later than post-operative day 2,Doc pt dischg >2d
G9255,00100,3,Documentation of patient discharged to home no later than post operative day 2,Pt dc home 2nd po day
G9256,00100,3,Documentation of patient death following cas,Doc of pat death after cas
G9257,00100,3,Documentation of patient stroke following cas,Doc of pat stroke after cas
G9258,00100,3,Documentation of patient stroke following cea,Doc of pat stroke after cea
G9259,00100,3,Documentation of patient survival and absence of stroke following cas,Survive/no stroke post cas
G9260,00100,3,Documentation of patient death following cea,Doc of pat death after cea
G9261,00100,3,Documentation of patient survival and absence of stroke following cea,Survive/no stroke post cea
G9262,00100,3,Documentation of patient death in the hospital following endovascular aaa repair,Doc of death post-aaa repair
G9263,00100,3,Documentation of patient discharged alive following endovascular aaa repair,Doc of disch post-aaa repair
G9264,00100,3,Documentation of patient receiving maintenance hemodialysis for greater than or,Doc rsn hemod w/cath >=90d
G9265,00100,3,Patient receiving maintenance hemodialysis for greater than or equal to 90 days,Doc cath >90d for maint dia
G9266,00100,3,Patient receiving maintenance hemodialysis for greater than or equal to 90 days,Norsn pt cath >=90d
G9267,00100,3,Documentation of patient with one or more complications or mortality within 30,Doc comp or mort w in 30d
G9268,00100,3,Documentation of patient with one or more complications within 90 days,Doc comp or mort w in 90d
G9269,00100,3,Documentation of patient without one or more complications and without,Doc no comp or mort w in 30d
G9270,00100,3,Documentation of patient without one or more complications within 90 days,Doc no comp or mort w in 90d
G9271,00100,3,Ldl value < 100,Ldl under 100
G9272,00100,3,Ldl value >= 100,Ldl 100 and over
G9273,00100,3,Blood pressure has a systolic value of < 140 and a diastolic value of < 90,Sys<140 and dia<90
G9274,00100,3,Blood pressure has a systolic value of =140 and a diastolic value of = 90 or,Bp out of nrml limits
G9275,00100,3,Documentation that patient is a current non-tobacco user,Doc of non tobacco user
G9276,00100,3,Documentation that patient is a current tobacco user,Doc of tobacco user
G9277,00100,3,Documentation that the patient is on daily aspirin or anti-platelet or has,Doc daily aspirin or contra
G9278,00100,3,Documentation that the patient is not on daily aspirin or anti-platelet regimen,Doc no daily aspirin
G9279,00100,3,Pneumococcal screening performed and documentation of vaccination received,Pne scrn done doc vac done
G9280,00100,3,"Pneumococcal vaccination not administered prior to discharge, reason not",Pne not given norsn
G9281,00100,3,Screening performed and documentation that vaccination not indicated/patient,Pne scrn done doc not ind
G9282,00100,3,Documentation of medical reason(s) for not reporting the histological type or,Doc medrsn no histo type
G9283,00100,3,Non small cell lung cancer biopsy and cytology specimen report documents,Hist type doc on report
G9284,00100,3,Non small cell lung cancer biopsy and cytology specimen report does not,No hist type doc on report
G9285,00100,3,Specimen site other than anatomic location of lung or is not classified as non,Site not small cell lung ca
G9286,00100,3,Antibiotic regimen prescribed within 10 days after onset of symptoms,Antibio rx w in 10d of sympt
G9287,00100,3,Antibiotic regimen not prescribed within 10 days after onset of symptoms,No antibio w in 10d of sympt
G9288,00100,3,Documentation of medical reason(s) for not reporting the histological type or,Doc medrsn no hist type rpt
G9289,00100,3,Non small cell lung cancer biopsy and cytology specimen report documents,Doc type nsm lung ca
G9290,00100,3,Non small cell lung cancer biopsy and cytology specimen report does not,No doc type nsm lung ca
G9291,00100,3,"Specimen site other than anatomic location of lung, is not classified as non",Not nsm lung ca
G9292,00100,3,Documentation of medical reason(s) for not reporting pt category and a,Medrsn no pt category
G9293,00100,3,Pathology report does not include the pt category and a statement on thickness,No pt category on report
G9294,00100,3,Pathology report includes the pt category and a statement on thickness and,Pt cat and thck on report
G9295,00100,3,Specimen site other than anatomic cutaneous location,Non cutaneous loc
G9296,00100,3,Patients with documented shared decision-making including discussion of,Doc share dec prior proc
G9297,00100,3,Shared decision-making including discussion of conservative (non-surgical),No doc share dec prior proc
G9298,00100,3,Patients who are evaluated for venous thromboembolic and cardiovascular risk,Eval risk vte card 30d prior
G9299,00100,3,Patients who are not evaluated for venous thromboembolic and cardiovascular,No eval risk vte card prior
G9300,00100,3,Documentation of medical reason(s) for not completely infusing the prophylactic,Doc medrsn no compl antibio
G9301,00100,3,Patients who had the prophylactic antibiotic completely infused prior to the,Doc compl inf antibio
G9302,00100,3,Prophylactic antibiotic not completely infused prior to the inflation of the,Norsn incomp inf antibio
G9303,00100,3,Operative report does not identify the prosthetic implant specifications,Norsn no pros info op rpt
G9304,00100,3,Operative report identifies the prosthetic implant specifications including the,Pros info op rpt
G9305,00100,3,Intervention for presence of leak of endoluminal contents through an,No interv req for leak
G9306,00100,3,Intervention for presence of leak of endoluminal contents through an,Interv req for leak
G9307,00100,3,"No return to the operating room for a surgical procedure, for complications of",No ret for surg w in 30d
G9308,00100,3,"Unplanned return to the operating room for a surgical procedure, for",Unpl ret or w/compl w/in 30d
