"Rndrng_Prvdr_Geo_Lvl","Rndrng_Prvdr_Geo_Cd","Rndrng_Prvdr_Geo_Desc","HCPCS_Cd","HCPCS_Desc","HCPCS_Drug_Ind","Place_Of_Srvc","Tot_Rndrng_Prvdrs","Tot_Benes","Tot_Srvcs","Tot_Bene_Day_Srvcs","Avg_Sbmtd_Chrg","Avg_Mdcr_Alowd_Amt","Avg_Mdcr_Pymt_Amt","Avg_Mdcr_Stdzd_Amt"
State,"11",District of Columbia,"95800","Sleep study including heart rate, breathing, and sleep time",N,O,14,247,257,257,463.5819,139.99347,106.46533,91.57541
State,"11",District of Columbia,"95806","Sleep study including heart rate, breathing, airflow, and effort",N,O,4,104,105,105,233.68571,81.84381,64.38876,63.501522
State,"11",District of Columbia,"95810",Sleep study in sleep lab (6 years or older),N,F,9,121,121,121,413.36365,127.1119,99.425865,90.362976
State,"11",District of Columbia,"95810",Sleep study in sleep lab (6 years or older),N,O,8,506,515,515,1279.7515,602.86505,474.25638,412.95905
State,"11",District of Columbia,"95811",Sleep study in sleep lab with continuous airway pressure (6 years or older),N,F,8,112,113,113,834.30975,132.88443,106.27203,95.85159
State,"11",District of Columbia,"95811",Sleep study in sleep lab with continuous airway pressure (6 years or older),N,O,7,334,343,343,1287.5044,589.3072,467.88644,429.9667
State,"11",District of Columbia,G0399,"Home sleep test (hst) with type iii portable monitor, unattended; minimum of 4 channels: 2 respiratory movement/airflow, 1 ecg/heart rate and 1 oxygen saturation",N,O,5,170,178,178,475.66293,98.874664,74.87505,74.15904
State,"12",Florida,"95800","Sleep study including heart rate, breathing, and sleep time",N,F,10,218,219,219,275.08575,40.63338,31.439772,30.643608
State,"12",Florida,"95800","Sleep study including heart rate, breathing, and sleep time",N,O,187,19619,20473,20469,424.0181,176.98257,130.07153,105.812454
State,"12",Florida,"95806","Sleep study including heart rate, breathing, airflow, and effort",N,F,72,1963,2016,2016,193.16542,43.80117,33.391167,32.758453
State,"12",Florida,"95806","Sleep study including heart rate, breathing, airflow, and effort",N,O,205,3012,3149,3090,323.19916,68.84136,51.657963,52.485622
State,"12",Florida,"95810",Sleep study in sleep lab (6 years or older),N,F,136,2931,2977,2977,377.0113,116.913475,90.079796,89.11115
State,"12",Florida,"95810",Sleep study in sleep lab (6 years or older),N,O,320,10407,11931,11930,1420.3315,457.82452,358.02036,370.71127
State,"12",Florida,"95811",Sleep study in sleep lab with continuous airway pressure (6 years or older),N,F,132,2778,2934,2934,415.9292,121.02171,93.63807,92.883064
State,"12",Florida,"95811",Sleep study in sleep lab with continuous airway pressure (6 years or older),N,O,318,9584,11422,11422,1632.8264,491.15073,386.05975,398.44363
State,"12",Florida,G0398,"Home sleep study test (hst) with type ii portable monitor, unattended; minimum of 7 channels: eeg, eog, emg, ecg/heart rate, airflow, respiratory effort and oxygen saturation",N,O,14,852,868,868,526.7573,145.75186,110.27343,109.67698
State,"12",Florida,G0399,"Home sleep test (hst) with type iii portable monitor, unattended; minimum of 4 channels: 2 respiratory movement/airflow, 1 ecg/heart rate and 1 oxygen saturation",N,F,22,164,165,165,224.19394,43.803272,32.42194,32.229153
State,"12",Florida,G0399,"Home sleep test (hst) with type iii portable monitor, unattended; minimum of 4 channels: 2 respiratory movement/airflow, 1 ecg/heart rate and 1 oxygen saturation",N,O,195,8047,8677,8638,404.4702,77.57619,57.034046,57.447067
State,"12",Florida,G0400,"Home sleep test (hst) with type iv portable monitor, unattended; minimum of 3 channels",N,O,10,220,231,231,1318.7164,85.657875,66.961815,65.8048
State,"13",Georgia,"95800","Sleep study including heart rate, breathing, and sleep time",N,F,35,701,714,714,224.50728,39.031303,28.122423,28.67311
State,"13",Georgia,"95800","Sleep study including heart rate, breathing, and sleep time",N,O,170,4084,4441,4424,366.6717,99.40373,76.31845,81.36515
State,"13",Georgia,"95806","Sleep study including heart rate, breathing, airflow, and effort",N,F,28,535,535,535,341.8057,40.9077,31.210018,32.929962
State,"13",Georgia,"95806","Sleep study including heart rate, breathing, airflow, and effort",N,O,87,1266,1310,1310,500.94305,79.79591,59.3709,63.581688
State,"13",Georgia,"95810",Sleep study in sleep lab (6 years or older),N,F,72,1353,1373,1373,438.3646,112.89843,85.55853,87.84144
State,"13",Georgia,"95810",Sleep study in sleep lab (6 years or older),N,O,118,2885,3032,3018,1521.031,403.1832,314.15018,334.51443
State,"13",Georgia,"95811",Sleep study in sleep lab with continuous airway pressure (6 years or older),N,F,74,1179,1229,1228,441.21335,116.4992,89.299446,92.19529
State,"13",Georgia,"95811",Sleep study in sleep lab with continuous airway pressure (6 years or older),N,O,109,2645,2838,2832,1587.9274,394.73517,309.0167,327.54428
State,"13",Georgia,G0398,"Home sleep study test (hst) with type ii portable monitor, unattended; minimum of 7 channels: eeg, eog, emg, ecg/heart rate, airflow, respiratory effort and oxygen saturation",N,O,7,43,49,49,692.6531,161.10918,125.50082,129.39796
State,"13",Georgia,G0399,"Home sleep test (hst) with type iii portable monitor, unattended; minimum of 4 channels: 2 respiratory movement/airflow, 1 ecg/heart rate and 1 oxygen saturation",N,O,120,1080,1149,1149,315.4667,76.098175,57.586674,57.78524
State,"13",Georgia,G0400,"Home sleep test (hst) with type iv portable monitor, unattended; minimum of 3 channels",N,O,6,149,202,202,419.21286,109.16446,84.32807,83.246735
State,"15",Hawaii,"95800","Sleep study including heart rate, breathing, and sleep time",N,F,3,140,141,141,112.23404,39.95525,31.385744,31.285248
State,"15",Hawaii,"95806","Sleep study including heart rate, breathing, airflow, and effort",N,F,5,48,48,48,195.625,45.66354,34.286457,32.10125
State,"15",Hawaii,"95806","Sleep study including heart rate, breathing, airflow, and effort",N,O,5,50,52,52,403.34885,73.14981,56.120384,55.874615
State,"15",Hawaii,"95810",Sleep study in sleep lab (6 years or older),N,F,5,98,98,98,713.949,119.74398,92.72122,89.32439
State,"15",Hawaii,"95810",Sleep study in sleep lab (6 years or older),N,O,9,189,200,200,1737.147,598.59406,468.2177,425.4788
State,"15",Hawaii,"95811",Sleep study in sleep lab with continuous airway pressure (6 years or older),N,F,6,247,250,250,505.44,121.298,94.83068,94.16608
